State_UT,year,Computers_Primary_Only,Computers_U_Primary_Only,Computers_Sec_Only,Computers_HrSec_Only,Computers_All Schools,Electricity_Primary_Only,Electricity_U_Primary_Only,Electricity_Sec_Only,Electricity_HrSec_Only,Electricity_All Schools,Water_Primary_Only,Water_U_Primary_Only,Water_Sec_Only,Water_HrSec_Only,Water_All Schools,Boys_toilet_Primary_Only,Boys_toilet_U_Primary_Only,Boys_toilet_Sec_Only,Boys_toilet_HrSec_Only,Boys_toilet_All Schools,Girls_Toilet_Primary_Only,Girls_Toilet_U_Primary_Only,Girls_Toilet_Sec_Only,Girls_Toilet_HrSec_Only,Girls_Toilet_All Schools
Kerala,2013-14,87.96,98.66,0.0,75.68,92.63,93.57,98.66,0.0,94.59,96.08,98.94,99.85,0.0,100.0,99.4,95.08,98.5,0.0,0.0,96.85,95.49,99.09,0.0,0.0,97.39
Kerala,2014-15,89.64,98.63,100.0,83.64,93.77,94.85,99.54,100.0,98.18,97.01,99.17,100.0,99.4,100.0,99.56,95.03,98.02,99.38,100.0,97.0,96.17,99.54,100.0,100.0,97.79
Kerala,2015-16,90.95,98.93,100.0,95.38,94.5,95.57,99.69,100.0,98.46,97.46,99.45,100.0,99.37,100.0,99.68,96.88,98.77,99.34,100.0,98.16,98.54,100.0,98.68,98.46,99.15
Lakshadweep,2013-14,100.0,100.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,100.0
Lakshadweep,2014-15,100.0,100.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,100.0
Lakshadweep,2015-16,100.0,100.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,100.0
Madhya Pradesh,2013-14,3.33,13.04,5.88,66.67,13.03,12.89,24.51,47.06,100.0,28.27,95.78,94.61,95.33,100.0,96.13,92.34,89.54,0.0,0.0,92.64,92.84,89.36,0.0,0.0,93.02
Madhya Pradesh,2014-15,3.53,13.15,9.86,60.0,14.58,11.84,23.42,48.02,80.0,28.29,95.76,94.89,94.8,100.0,96.23,88.41,87.38,78.4,88.89,89.68,88.54,87.02,76.63,90.0,89.59
Madhya Pradesh,2015-16,2.9,13.33,14.51,66.67,15.17,11.31,24.1,52.09,77.78,28.8,95.76,95.24,96.11,100.0,96.37,95.72,95.39,91.93,100.0,96.2,96.2,96.01,93.53,100.0,96.65
Maharashtra,2013-14,28.6,38.75,82.24,49.47,52.79,89.44,88.75,91.44,96.31,92.75,98.94,100.0,99.9,99.82,99.31,97.87,92.96,0.0,0.0,98.3,97.86,95.89,0.0,0.0,98.46
Maharashtra,2014-15,32.52,47.75,88.43,73.75,57.07,90.75,85.59,94.03,97.58,93.93,99.42,100.0,99.95,99.95,99.64,98.83,95.0,99.04,98.98,99.15,98.9,98.04,99.35,99.28,99.29
Maharashtra,2015-16,35.48,77.89,90.49,78.35,59.65,90.62,89.47,94.58,96.66,93.94,99.58,100.0,99.97,99.81,99.74,98.8,98.78,99.58,99.61,99.21,99.06,100.0,99.82,99.43,99.41
