State_UT,year,Primary_Boys_Dropout,Primary_Girls_Dropout,Primary_Total_Dropout,Upper Primary_Boys,Upper Primary_Girls,Upper Primary_Total,Secondary _Boys,Secondary _Girls,Secondary _Total,HrSecondary_Boys,HrSecondary_Girls,HrSecondary_Total,Primary_Boys_GER,Primary_Girls_GER,Primary_Total_GER,Upper_Primary_Boys,Upper_Primary_Girls,Upper_Primary_Total,Secondary_Boys,Secondary_Girls,Secondary_Total,Higher_Secondary_Boys,Higher_Secondary_Girls,Higher_Secondary_Total,Computers_Primary_Only,Computers_U_Primary_only,Computers_All Schools,Computers_Sec_Only,Computers_HrSec_Only,Electricity_Primary_Only,Electricity_U_Primary_Only,Electricity_Sec_Only,Electricity_HrSec_Only,Electricity_All Schools,Water_Primary_Only,Water_U_Primary_Only,Water_Sec_Only,Water_HrSec_Only,Water_All Schools,Boys_toilet_Primary_Only,Boys_toilet_U_Primary_Only,Boys_toilet_Sec_Only,Boys_toilet_HrSec_Only,Boys_toilet_All Schools,Girls_Toilet_Primary_Only,Girls_Toilet_U_Primary_Only,Girls_Toilet_Sec_Only,Girls_Toilet_HrSec_Only,Girls_Toilet_All Schools,Overall_Dropout,Overall_GER,Infrastructure_Score
Dadra & Nagar Haveli,2013-14,1.05,2.17,1.57,3.31,5.09,4.13,30.02,26.83,28.59,7.07,5.33,6.24,89.5,81.89,85.78,100.76,91.43,96.22,87.79,79.08,83.66,37.77,41.99,39.64,8.84,100.0,54.55,0.0,38.19,93.92,100.0,100.0,100.0,96.79,100.0,100.0,100.0,100.0,100.0,79.56,0.0,0.0,0.0,85.53,91.71,100.0,0.0,0.0,94.36,10.1325,76.32499999999999,86.24600000000001
Dadra & Nagar Haveli,2014-15,1.6,1.31,1.47,3.7,4.4,4.02,18.19,15.08,16.77,13.45,4.77,9.47,85.41,78.78,82.18,97.19,88.36,92.91,91.14,84.65,88.07,35.57,40.39,37.7,7.39,100.0,72.73,0.0,40.12,97.16,100.0,100.0,100.0,98.55,100.0,100.0,100.0,100.0,100.0,92.05,0.0,100.0,100.0,95.34,98.3,100.0,100.0,100.0,99.13,7.932499999999999,75.21499999999999,93.15
Daman & Diu,2013-14,1.06,0.59,0.85,3.42,3.72,3.56,19.46,20.33,19.86,14.48,4.89,9.86,87.8,89.78,88.69,84.06,90.61,86.97,67.94,82.2,73.88,34.37,64.55,44.36,14.55,100.0,100.0,50.0,61.11,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,8.532499999999999,73.475,100.0
Daman & Diu,2014-15,1.8,0.29,1.11,3.14,3.07,3.11,34.45,29.73,32.27,44.38,36.05,40.48,83.93,87.37,85.47,80.28,88.11,83.72,68.69,83.61,74.85,28.45,55.97,37.48,21.67,100.0,92.31,100.0,66.21,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,19.2425,70.38,98.462
Delhi,2013-14,3.4,2.83,3.05,3.13,2.37,2.78,10.8,6.64,8.9,20.28,11.45,16.25,108.78,112.95,110.67,117.76,129.5,122.91,102.02,102.86,102.4,98.88,102.3,100.42,80.55,55.26,0.0,0.0,81.56,100.0,100.0,0.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,100.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,100.0,7.745,109.10000000000001,80.0
Delhi,2014-15,3.4,2.83,3.05,0.95,0.55,0.76,13.55,9.8,11.81,20.91,13.15,17.32,109.38,114.61,111.75,118.08,134.62,125.24,101.57,106.03,103.56,89.51,94.23,91.63,79.65,42.11,0.0,0.0,81.0,100.0,100.0,0.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,8.235,108.045,80.0
Goa,2013-14,0.08,0.33,0.2,3.49,3.855,3.8,11.68,7.19,9.58,18.21,8.38,13.36,104.97,105.32,105.14,106.29,105.16,105.76,110.77,102.14,106.66,68.32,72.36,70.24,12.02,83.33,0.0,81.58,40.63,98.83,100.0,0.0,100.0,98.17,99.61,100.0,0.0,100.0,98.61,82.78,88.89,0.0,0.0,87.07,97.75,100.0,0.0,0.0,98.31,6.734999999999999,96.95,76.432
Goa,2014-15,0.63,0.84,0.73,3.49,0.21,0.07,14.15,7.68,11.15,18.27,9.39,13.91,103.03,105.01,103.97,99.23,101.26,100.19,118.56,108.13,113.63,73.68,82.57,77.88,13.62,83.33,0.0,92.94,43.51,98.69,100.0,0.0,100.0,98.72,99.6,100.0,0.0,100.0,99.23,86.83,100.0,0.0,98.75,90.85,99.09,100.0,0.0,100.0,99.42,6.465,98.91749999999999,77.64399999999999
Gujarat,2013-14,0.5,1.06,0.76,3.52,8.04,5.55,22.85,19.81,21.61,9.06,6.18,7.83,100.32,102.06,101.13,91.82,89.72,90.86,81.8,65.93,74.5,53.06,43.25,48.51,24.74,75.23,65.19,56.36,72.08,99.33,99.85,99.44,99.7,99.72,99.97,99.85,99.92,99.85,99.97,95.57,99.32,0.0,0.0,97.77,99.5,99.83,0.0,0.0,99.78,8.9375,78.75,92.48599999999999
Gujarat,2014-15,0.82,0.98,0.89,4.65,8.54,6.41,26.29,23.24,25.04,8.4,5.26,7.04,97.57,100.07,98.72,93.63,93.47,93.56,80.82,66.67,74.34,47.44,42.02,44.93,28.28,79.08,76.47,73.54,75.22,99.27,100.0,99.64,99.73,99.72,99.74,100.0,99.72,99.87,99.88,97.09,99.85,98.71,99.29,98.63,99.66,99.86,99.27,99.45,99.79,9.844999999999999,77.8875,94.898
Haryana,2013-14,0.22,0.63,0.41,1.97,3.25,2.55,11.92,13.27,12.51,1.41,3.16,2.18,96.62,100.57,98.39,91.24,98.01,94.17,88.83,82.92,86.21,72.84,65.43,69.55,7.43,27.69,0.0,0.0,44.12,98.87,96.0,0.0,0.0,98.89,99.8,99.76,0.0,0.0,99.87,95.73,90.71,0.0,0.0,96.53,97.58,94.54,0.0,0.0,98.1,4.4125,87.08,78.678
Haryana,2014-15,5.54,5.69,5.61,5.5,6.18,5.81,16.35,15.3,15.89,6.24,5.12,5.75,95.92,99.61,97.57,91.96,101.5,96.03,85.66,82.47,84.25,67.76,63.29,65.78,7.47,28.75,0.0,100.0,46.04,98.61,95.7,0.0,100.0,98.74,99.63,99.5,0.0,100.0,99.75,94.26,89.15,0.0,100.0,95.67,97.4,94.43,0.0,100.0,98.05,8.265,85.9075,78.44200000000001
Himachal Pradesh,2013-14,0.57,0.34,0.46,0.6,0.98,0.78,9.32,8.83,9.09,8.44,5.54,7.07,99.8,101.27,100.49,101.57,102.04,101.79,122.77,117.53,120.31,96.15,96.11,96.13,3.75,14.38,100.0,33.33,22.49,94.76,88.25,100.0,100.0,94.9,98.95,98.24,100.0,100.0,99.06,93.43,92.27,0.0,0.0,94.48,97.01,94.88,0.0,0.0,97.32,4.35,104.68,97.15200000000002
