State_UT,year,Primary_Boys_Dropout,Primary_Girls_Dropout,Primary_Total_Dropout,Upper Primary_Boys,Upper Primary_Girls,Upper Primary_Total,Secondary _Boys,Secondary _Girls,Secondary _Total,HrSecondary_Boys,HrSecondary_Girls,HrSecondary_Total,Primary_Boys_GER,Primary_Girls_GER,Primary_Total_GER,Upper_Primary_Boys,Upper_Primary_Girls,Upper_Primary_Total,Secondary_Boys,Secondary_Girls,Secondary_Total,Higher_Secondary_Boys,Higher_Secondary_Girls,Higher_Secondary_Total,Computers_Primary_Only,Computers_U_Primary_only,Computers_All Schools,Computers_Sec_Only,Computers_HrSec_Only,Electricity_Primary_Only,Electricity_U_Primary_Only,Electricity_Sec_Only,Electricity_HrSec_Only,Electricity_All Schools,Water_Primary_Only,Water_U_Primary_Only,Water_Sec_Only,Water_HrSec_Only,Water_All Schools,Boys_toilet_Primary_Only,Boys_toilet_U_Primary_Only,Boys_toilet_Sec_Only,Boys_toilet_HrSec_Only,Boys_toilet_All Schools,Girls_Toilet_Primary_Only,Girls_Toilet_U_Primary_Only,Girls_Toilet_Sec_Only,Girls_Toilet_HrSec_Only,Girls_Toilet_All Schools,Overall_Dropout,Overall_GER,Infrastructure_Score
Nagaland,2014-15,6.18,5.02,5.61,7.87,7.97,7.92,17.98,18.47,18.23,10.36,3.19,6.97,99.32,101.91,100.57,94.3,101.38,97.67,62.33,66.91,64.53,34.13,33.08,33.61,4.97,68.83,41.67,34.78,35.68,18.07,49.35,33.33,100.0,40.94,72.27,64.29,66.67,95.65,78.18,92.72,83.12,91.67,100.0,94.66,99.02,98.7,91.67,100.0,99.37,9.682500000000001,74.095,70.96400000000001
Punjab,2013-14,1.35,1.21,1.29,2.52,3.27,2.85,8.93,8.71,8.83,7.87,3.2,5.81,104.33,107.2,105.61,94.04,97.03,95.34,87.67,84.74,86.39,72.12,71.37,71.79,10.64,93.48,100.0,53.42,51.97,99.93,100.0,100.0,98.63,99.86,99.78,99.58,100.0,98.63,99.77,96.02,96.22,0.0,0.0,97.04,96.51,98.23,0.0,0.0,97.81,4.695,89.7825,98.896
Punjab,2014-15,2.89,3.25,3.05,2.95,3.55,3.22,9.22,8.39,8.86,7.52,3.67,5.83,103.4,107.26,105.11,94.56,99.69,96.77,85.72,85.42,85.59,68.61,70.38,69.39,10.29,95.36,80.0,73.53,52.48,99.86,99.69,100.0,100.0,99.88,99.95,100.0,100.0,100.0,99.97,96.3,96.99,100.0,94.67,97.35,98.76,98.82,100.0,98.02,99.08,5.24,89.215,95.256
Rajasthan,2013-14,7.76,9.12,8.39,4.49,7.95,6.03,17.85,20.06,18.77,8.29,5.85,7.64,102.35,100.6,101.53,86.83,81.94,84.58,85.33,71.02,78.68,60.47,44.51,53.03,4.51,72.31,68.0,66.67,23.47,22.56,88.43,92.0,100.0,52.06,93.58,99.59,100.0,100.0,96.31,93.99,87.88,0.0,0.0,96.03,96.07,99.15,0.0,0.0,97.87,10.2075,79.45500000000001,82.054
Rajasthan,2014-15,5.02,5.02,5.02,2.54,3.73,3.07,13.54,13.4,13.48,8.29,5.85,7.64,99.82,97.31,98.64,87.43,83.85,85.79,82.67,68.62,76.16,63.85,48.02,56.46,5.29,81.57,64.0,75.0,28.6,19.05,96.77,92.0,100.0,55.28,94.43,99.54,100.0,100.0,97.08,94.68,92.68,100.0,100.0,96.91,95.58,99.06,95.83,100.0,98.03,7.3025,79.2625,82.25999999999999
Sikkim,2013-14,5.55,3.49,4.57,6.35,3.98,5.14,13.74,12.14,12.89,14.11,11.92,12.91,128.15,120.58,124.42,132.96,114.98,138.84,90.21,106.65,98.37,54.81,70.6,62.62,29.92,50.0,0.0,0.0,53.33,56.69,100.0,0.0,0.0,69.3,96.04,100.0,0.0,0.0,97.18,96.72,100.0,0.0,0.0,97.01,98.78,100.0,0.0,0.0,99.25,8.877500000000001,106.0625,72.548
Sikkim,2014-15,3.75,0.62,2.27,2.07,1.08,1.57,17.58,14.39,15.89,12.48,11.17,11.76,116.95,108.05,112.57,133.96,147.67,140.66,104.11,118.51,111.26,60.61,76.66,68.55,35.94,50.0,0.0,0.0,58.56,59.16,100.0,0.0,0.0,70.72,96.22,100.0,0.0,0.0,97.17,97.9,100.0,0.0,0.0,98.19,98.27,100.0,0.0,0.0,98.91,7.8725000000000005,108.26,72.998
Tamil Nadu,2013-14,0.53,0.39,0.46,4.38,4.67,4.52,16.13,7.99,12.2,4.55,4.35,4.44,102.4,102.72,102.56,97.16,99.46,98.27,91.81,93.25,92.5,67.96,84.46,75.87,35.51,78.13,50.0,81.82,54.14,97.21,96.88,100.0,100.0,97.69,100.0,100.0,100.0,100.0,100.0,88.14,92.42,100.0,100.0,90.93,95.53,96.75,100.0,100.0,96.91,5.405,92.3,87.106
Tamil Nadu,2014-15,0.53,0.39,0.46,3.49,3.855,3.8,11.67,4.36,8.1,4.59,2.34,3.41,102.79,103.45,103.11,93.37,95.9,94.58,90.22,93.72,91.89,69.97,85.73,77.52,39.86,75.65,66.67,100.0,57.28,97.77,97.39,100.0,100.0,98.51,99.86,99.13,100.0,100.0,99.81,98.99,98.11,100.0,100.0,99.29,99.57,100.0,100.0,100.0,99.71,3.9425,91.77499999999999,92.798
Telangana,2014-15,2.21,1.94,2.08,2.43,2.17,2.3,16.54,14.5,15.53,2.06,5.85,0.77,103.55,103.59,103.57,89.94,91.9,90.89,79.67,85.03,82.25,55.64,61.31,58.33,18.17,75.0,76.47,48.03,37.9,87.24,100.0,100.0,93.6,91.05,90.2,100.0,94.12,97.76,93.6,68.44,87.5,82.35,81.66,73.39,89.82,100.0,100.0,81.62,92.1,5.17,83.75999999999999,85.322
Tripura,2013-14,3.63,3.52,3.58,3.21,2.2,2.72,24.51,25.7,25.09,9.15,9.06,9.11,112.7,113.95,113.31,113.2,114.9,114.03,117.14,116.87,117.01,44.79,36.85,40.99,3.59,50.0,0.0,0.0,11.4,13.03,50.0,0.0,0.0,24.94,83.0,50.0,0.0,0.0,84.48,92.31,50.0,0.0,0.0,91.15,87.79,50.0,0.0,0.0,89.13,10.125,96.33500000000001,57.94
Tripura,2014-15,1.37,1.19,1.28,2.37,1.61,1.99,28.03,28.83,28.42,8.97,8.89,8.93,109.5,110.49,109.98,118.8,122.38,120.54,119.81,121.36,120.57,46.48,40.05,43.4,4.36,100.0,0.0,0.0,15.11,13.62,100.0,0.0,0.0,28.58,84.74,100.0,0.0,0.0,88.98,99.14,100.0,0.0,0.0,99.44,99.77,100.0,0.0,0.0,99.88,10.155000000000001,98.6225,63.376
Uttar Pradesh,2013-14,7.91,6.21,7.08,3.49,2.43,0.53,7.26,7.35,7.3,8.29,5.85,7.64,93.34,99.88,96.41,67.32,80.11,73.17,66.52,65.79,66.18,62.54,59.91,61.27,5.53,14.75,9.37,37.5,11.12,48.32,49.24,69.88,91.67,52.19,98.83,96.87,97.03,100.0,98.17,97.18,97.31,95.45,0.0,97.25,98.65,98.77,96.36,0.0,98.66,5.6375,74.2575,71.128
Uttar Pradesh,2014-15,9.08,8.04,8.58,0.78,4.61,2.7,9.89,10.6,10.22,1.79,2.45,2.1,91.54,98.93,95.0,68.14,82.28,74.54,67.85,67.73,67.79,65.36,62.01,63.75,6.43,16.64,15.5,20.0,12.72,49.64,50.49,70.39,90.0,53.59,98.85,97.36,97.35,100.0,98.57,98.36,98.39,98.49,100.0,98.5,98.59,98.6,98.69,100.0,98.72,5.9,75.27000000000001,72.976
West Bengal,2013-14,3.44,2.37,2.91,5.63,3.1,4.31,16.73,19.77,18.34,8.03,7.76,7.9,103.16,104.88,104.0,92.84,106.87,99.64,68.62,81.34,74.82,47.38,48.96,48.13,3.94,7.93,0.0,54.55,10.77,36.48,31.77,100.0,90.91,42.76,97.81,95.07,100.0,100.0,97.75,80.34,78.71,0.0,0.0,81.42,80.02,83.5,0.0,0.0,82.08,8.365,81.6475,60.802
West Bengal,2014-15,2.13,0.79,1.47,5.84,2.88,4.3,16.33,19.06,17.8,8.18,8.04,8.11,101.78,102.91,102.33,96.16,110.67,103.17,70.67,86.05,78.17,48.27,51.82,49.95,4.55,9.32,0.0,66.67,12.13,52.52,45.63,0.0,91.67,56.96,98.0,95.49,0.0,91.67,97.93,89.45,87.89,0.0,100.0,89.93,91.69,91.98,0.0,100.0,92.42,7.92,83.405,67.44800000000001
All India,2013-14,4.53,4.14,4.34,3.09,4.49,3.77,17.93,17.79,17.86,1.48,1.61,1.54,100.2,102.65,101.36,86.31,92.75,89.33,76.8,76.47,76.64,52.77,51.58,52.21,9.25,18.22,44.8,26.65,24.08,46.38,45.97,75.08,91.01,56.78,94.09,93.9,96.52,97.14,95.4,84.01,88.14,97.97,74.36,86.56,88.68,91.39,99.06,76.14,91.23,6.8774999999999995,79.88499999999999,74.95400000000001
All India,2014-15,4.36,3.88,4.13,3.49,4.6,4.03,17.21,16.88,17.06,0.25,5.85,7.64,98.85,101.43,100.08,87.71,95.29,91.24,78.13,78.94,78.51,54.57,53.81,54.21,10.32,19.4,51.27,47.96,26.42,49.63,48.33,77.55,92.67,60.01,94.88,94.82,96.32,98.23,96.12,85.66,88.12,89.1,88.97,88.62,91.21,91.39,90.26,90.94,93.08,8.215,81.00999999999999,77.82
